EmployeeNumber,MonthlyIncome,IncomeBand,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel
901,14275,High Income,102,72,20206,18,0
902,5562,Medium Income,422,33,21782,13,1
903,4537,Medium Income,249,35,17783,22,1
904,7642,High Income,1252,32,4814,13,0
905,17924,High Income,881,98,4544,11,1
909,5204,Medium Income,1383,42,7790,11,2
910,2277,Low Income,1075,57,22650,11,1
911,2795,Low Income,374,87,18016,24,0
912,2532,Low Income,1086,62,6054,14,3
913,2559,Low Income,661,61,7508,13,0
916,4908,Medium Income,821,98,24252,14,0
918,2380,Low Income,781,57,13384,14,1
920,4765,Medium Income,177,55,23814,21,1
922,2044,Low Income,500,49,22052,13,0
923,2693,Low Income,1427,65,8870,19,0
924,6586,High Income,1425,68,4821,17,1
925,3294,Low Income,1454,65,13137,18,0
926,4171,Medium Income,617,34,10022,19,1
927,2778,Low Income,1085,57,17725,13,1
930,2377,Low Income,995,77,9834,18,1
932,2404,Low Income,1122,70,4303,21,0
933,2318,Low Income,618,76,17808,19,0
934,2008,Low Income,546,83,6896,14,2
936,6244,Medium Income,462,68,7824,17,0
939,2799,Low Income,1198,100,3339,11,0
940,10552,High Income,1272,37,9255,13,1
941,2329,Low Income,154,41,11737,15,0
942,4014,Medium Income,1137,51,19170,25,1
944,7403,High Income,527,51,22477,11,1
945,2259,Low Income,1469,51,5543,17,2
947,6932,High Income,1188,45,24406,13,1
949,4678,Medium Income,188,65,23293,18,0
950,13582,High Income,1333,80,16292,13,1
951,2332,Low Income,1184,70,3974,20,0
952,2413,Low Income,867,36,18798,18,3
954,9705,High Income,658,67,20652,12,1
956,4294,Medium Income,1283,52,11148,12,0
957,4721,Medium Income,263,59,3119,13,0
958,2519,Low Income,938,79,12287,21,0
959,2121,Low Income,419,37,9947,13,0
960,2973,Low Income,129,84,13008,19,0
961,5855,Medium Income,616,41,17369,11,2
964,3617,Medium Income,1469,35,25063,14,1
966,6725,High Income,498,93,13554,12,1
967,10325,High Income,530,51,5518,11,1
969,6949,High Income,1069,42,12291,14,0
970,10609,High Income,625,46,14922,11,0
972,4447,Medium Income,805,57,23163,12,0
974,2157,Low Income,1404,84,18203,15,1
975,4601,Medium Income,1219,86,6179,16,0
976,17099,High Income,1053,70,13829,15,1
977,2479,Low Income,289,51,26227,24,0
981,14852,High Income,1376,45,13938,13,1
982,7264,High Income,231,62,9977,11,1
983,5666,Medium Income,152,85,19899,13,0
984,7823,High Income,882,92,6812,13,1
985,7880,High Income,903,41,2560,18,0
986,13194,High Income,1479,100,17071,16,0
987,5067,Medium Income,1379,64,6759,19,0
990,5079,Medium Income,1229,84,25952,13,2
991,2321,Low Income,335,46,10322,22,0
992,17444,High Income,722,38,20489,11,0
994,2404,Low Income,906,92,11479,20,0
995,3452,Low Income,461,53,17241,18,0
996,2270,Low Income,974,91,11005,14,2
997,17399,High Income,1126,66,6615,22,1
998,5488,Medium Income,827,84,20161,13,1
999,19419,High Income,840,64,3735,17,1
1001,2811,Low Income,1134,37,12086,14,1
1002,3633,Medium Income,248,42,14039,15,1
1003,4163,Medium Income,955,83,8571,17,0
1004,2132,Low Income,138,48,11539,11,0
1005,13973,High Income,939,95,4161,18,1
1006,2684,Low Income,1391,66,12127,17,1
1007,10845,High Income,566,75,24208,13,1
1009,4377,Medium Income,1206,41,24117,15,2
1010,3743,Medium Income,622,39,10074,24,1
1011,4148,Medium Income,853,96,11275,12,1
1012,1051,Low Income,287,73,13493,15,0
1013,10739,High Income,1441,56,13943,11,1
1014,10388,High Income,583,57,6975,11,1
1015,11416,High Income,153,73,17802,12,3
1016,2600,Low Income,1097,98,18275,15,0
1017,2422,Low Income,109,60,25725,17,0
1018,5472,Medium Income,1066,32,3334,12,0
1019,2451,Low Income,217,94,6881,15,1
1022,4240,Medium Income,277,97,13119,13,0
1024,10999,High Income,1355,78,22245,14,0
1025,5003,Medium Income,549,42,23371,14,0
1026,12742,High Income,466,65,7060,16,1
1027,4227,Medium Income,1055,47,4658,18,1
1028,3917,Medium Income,802,45,9541,20,1
1029,18303,High Income,265,90,7770,13,0
1030,2380,Low Income,804,64,20165,18,0
1032,13726,High Income,715,69,21829,13,0
1033,4777,Medium Income,1141,61,14382,15,0
1034,6385,Medium Income,135,62,12992,14,2
1035,19973,High Income,247,55,20284,22,2
1036,6861,High Income,1035,42,4981,12,0
1037,4969,Medium Income,265,79,21813,18,0
1038,19845,High Income,266,57,25846,15,1
1039,13320,High Income,1448,53,11737,18,1
1040,6347,Medium Income,145,95,24920,12,1
1042,2743,Low Income,885,43,8269,16,0
1043,10880,High Income,945,82,5083,13,0
1044,2342,Low Income,1038,88,21437,19,0
1045,17650,High Income,1234,90,5404,13,1
1046,4025,Medium Income,1109,69,11135,12,0
1047,9725,High Income,216,75,12278,11,1
1048,11904,High Income,1089,66,11038,14,1
1049,2177,Low Income,788,36,8318,16,0
1050,7525,High Income,124,38,23537,12,1
1052,4834,Medium Income,660,81,7858,14,1
1053,2042,Low Income,342,57,15346,14,1
1055,2220,Low Income,1333,87,18410,19,1
1056,1052,Low Income,1144,74,23384,22,0
1060,2821,Low Income,1186,44,2997,16,1
1061,19237,High Income,1464,62,12853,11,1
1062,4107,Medium Income,124,35,13848,15,0
1066,8396,High Income,300,74,22217,14,1
1068,2007,Low Income,921,66,25265,13,2
1069,19627,High Income,430,40,21445,17,2
1070,10686,High Income,1082,41,8392,11,1
1071,2942,Low Income,1240,63,12154,19,1
1073,8858,High Income,796,51,15669,11,0
1074,16756,High Income,444,40,17323,15,0
1076,10798,High Income,415,79,5268,13,1
1077,2323,Low Income,769,54,17205,14,0
1079,1416,Low Income,1334,36,17258,13,0
1080,4615,Medium Income,1003,74,21029,23,3
1081,2461,Low Income,1323,34,10332,12,3
1082,8722,High Income,1366,72,12355,12,0
1083,3955,Medium Income,192,59,11141,16,2
1084,9957,High Income,1176,85,9096,15,1
1085,3376,Low Income,509,43,18863,13,0
1088,8823,High Income,330,65,24608,18,1
1092,10322,High Income,1492,61,26542,20,1
1094,4621,Medium Income,1277,87,5869,19,3
1096,10976,High Income,1091,65,15813,18,1
1097,3660,Medium Income,857,59,7909,13,0
1098,10482,High Income,1376,91,2326,14,1
1099,7119,High Income,654,34,21214,15,1
1100,9582,High Income,1204,86,10333,22,0
1101,4508,Medium Income,827,54,3129,22,0
1102,2207,Low Income,895,50,22482,16,1
1103,7756,High Income,618,45,22266,17,0
1105,6694,High Income,309,88,24223,14,3
1106,3691,Medium Income,1219,32,4605,15,1
1107,2377,Low Income,1330,37,19373,20,1
1108,2313,Low Income,1017,55,2993,20,0
1109,17665,High Income,469,35,14399,17,1
1111,2596,Low Income,1009,45,7160,15,2
1113,4728,Medium Income,959,81,17251,14,0
1114,4302,Medium Income,970,30,13401,17,1
1115,2979,Low Income,697,40,22478,17,3
1116,16885,High Income,1262,35,16154,22,0
1117,5593,Medium Income,1050,65,17970,13,1
1118,10445,High Income,994,87,15322,19,0
1119,8740,High Income,770,73,5569,14,2
1120,2514,Low Income,1107,93,26968,22,1
1121,7655,High Income,950,93,8039,17,3
1124,17465,High Income,406,52,15596,12,1
1125,7351,High Income,130,32,20619,16,0
1126,10820,High Income,1082,83,11535,11,1
1127,12169,High Income,203,84,13547,11,3
1128,19626,High Income,1308,44,17544,14,0
1131,2070,Low Income,984,70,25326,11,0
1132,6782,High Income,439,70,8770,15,0
1133,7779,High Income,217,78,23238,20,0
1135,2791,Low Income,793,67,21981,12,1
1136,3201,Low Income,1451,67,19911,17,0
1137,4968,Medium Income,1182,54,18500,11,1
1138,13120,High Income,174,56,11879,17,1
1140,4033,Medium Income,1003,95,15834,11,0
1143,3291,Low Income,490,61,17940,14,2
1148,4272,Medium Income,188,56,9558,19,0
1150,5056,Medium Income,718,79,17689,15,1
1152,2844,Low Income,433,37,6004,13,1
1154,2703,Low Income,773,39,22088,14,1
1156,1904,Low Income,247,80,13556,12,0
1157,8224,High Income,603,77,18385,17,0
1158,4766,Medium Income,167,46,9051,11,1
1160,2610,Low Income,874,72,6233,12,1
1161,5731,Medium Income,367,52,17171,13,2
1162,2539,Low Income,199,55,7950,13,1
1163,5714,Medium Income,1400,70,5829,20,0
1164,4323,Medium Income,528,100,7108,17,0
1165,7336,High Income,408,45,11162,13,1
1166,13499,High Income,593,88,13782,17,0
1167,13758,High Income,481,44,2447,12,0
1171,5155,Medium Income,647,45,2253,13,0
1172,2258,Low Income,982,58,16340,12,1
1173,3597,Medium Income,477,49,6409,22,0
1175,2515,Low Income,1485,79,22955,11,0
1177,4420,Medium Income,1384,82,13421,22,1
1179,6578,High Income,852,72,2706,18,1
1180,4422,Medium Income,902,92,21203,13,1
1182,10274,High Income,819,44,19588,18,1
1184,5343,Medium Income,669,97,25755,20,0
1185,2376,Low Income,636,47,26537,13,1
1188,5346,Medium Income,1372,85,9489,13,0
1190,2827,Low Income,862,76,14947,12,3
1191,19943,High Income,718,92,18575,13,1
1192,3131,Low Income,1401,54,26342,13,1
1193,2552,Low Income,645,54,7172,25,0
1195,4477,Medium Income,1457,83,20100,19,1
1196,6474,High Income,977,56,9961,13,1
1198,3033,Low Income,805,87,12828,12,0
1200,2936,Low Income,1097,96,10826,11,0
1201,18606,High Income,1223,50,18640,18,1
1202,2168,Low Income,942,69,26933,18,1
1203,2853,Low Income,1256,48,4223,11,1
1204,17048,High Income,1402,69,24097,23,0
1206,2290,Low Income,111,74,4279,13,0
1207,3600,Medium Income,147,99,8429,13,1
1210,2107,Low Income,906,95,20293,17,1
1211,4115,Medium Income,1329,61,13192,19,3
1212,4327,Medium Income,1184,62,25440,12,3
1215,17856,High Income,1421,30,9490,22,1
1216,3196,Low Income,1179,78,12449,12,3
1217,19081,High Income,1450,52,10849,11,1
1218,8966,High Income,1361,94,21026,15,3
1219,2210,Low Income,984,97,3372,13,1
1220,4539,Medium Income,1146,82,4905,12,1
1221,2741,Low Income,917,60,6865,14,1
1224,3491,Low Income,853,49,11309,13,3
1225,4541,Medium Income,200,32,7744,25,0
1226,2678,Low Income,654,43,5050,17,0
1228,7379,High Income,150,60,17433,11,1
1231,6272,Medium Income,179,79,12858,16,1
1233,5220,Medium Income,696,52,10893,18,1
1234,2743,Low Income,116,77,7331,20,1
1235,4998,Medium Income,1316,38,2338,14,0
1237,10252,High Income,363,77,4235,21,1
1238,2781,Low Income,117,60,6311,13,1
1239,6852,High Income,107,84,11591,12,1
1240,4950,Medium Income,1356,57,20623,14,0
1241,3579,Low Income,1465,63,9369,21,1
1242,13191,High Income,458,60,23281,17,0
1243,10377,High Income,1212,78,13755,11,1
1244,2235,Low Income,1103,42,14377,14,2
1245,10502,High Income,966,53,9659,17,1
1246,2011,Low Income,1117,72,19982,13,1
1248,1859,Low Income,504,96,6148,25,0
1249,3760,Medium Income,1010,97,5598,15,3
1250,17779,High Income,685,85,23474,14,0
1251,6833,High Income,1332,80,17089,12,0
1252,6812,High Income,1062,96,17198,19,0
1254,5171,Medium Income,326,48,16490,17,0
1255,19740,High Income,920,96,18625,14,1
1256,18711,High Income,1098,85,12124,13,1
1257,3692,Medium Income,469,46,9256,12,0
1258,2559,Low Income,969,76,16620,11,0
1259,2517,Low Income,1167,76,3208,11,3
1260,6623,High Income,1329,82,4204,11,2
1263,18265,High Income,715,76,8733,12,0
1264,16124,High Income,694,87,3423,14,2
1265,2585,Low Income,1320,89,21643,17,0
1267,18213,High Income,1099,88,8751,11,1
1268,8380,High Income,536,82,21708,14,2
1269,2994,Low Income,265,57,21221,12,0
1270,1223,Low Income,373,47,16901,22,1
1273,1118,Low Income,599,73,8040,14,0
1275,2875,Low Income,583,53,9973,20,0
1277,18824,High Income,1449,94,2493,16,0
1278,13577,High Income,177,37,25592,15,1
1279,2625,Low Income,251,45,25308,20,0
1280,18789,High Income,168,33,9946,14,1
1281,4538,Medium Income,131,86,6039,12,0
1282,19847,High Income,237,83,19196,24,1
1283,10512,High Income,1429,67,20002,12,0
1285,4444,Medium Income,135,46,22534,13,2
1286,2154,Low Income,791,44,6842,11,0
1288,19190,High Income,1199,92,17477,14,2
1289,4490,Medium Income,648,56,21833,11,2
1291,3506,Low Income,735,66,6020,14,0
1292,2372,Low Income,603,78,5628,16,0
1293,10231,High Income,531,56,20364,14,0
1294,5410,Medium Income,429,53,2323,11,0
1295,7978,High Income,621,73,14075,11,1
1296,3867,Medium Income,193,52,14222,12,1
1297,2838,Low Income,968,40,4257,14,0
1298,4695,Medium Income,879,72,12858,18,0
1299,3339,Low Income,806,39,17285,13,2
1301,2080,Low Income,640,84,4732,11,0
1303,2096,Low Income,266,40,18830,18,0
1304,6209,Medium Income,604,56,11693,15,2
1306,18061,High Income,364,83,13035,22,0
1307,17123,High Income,412,94,17334,13,2
1308,2372,Low Income,848,88,26076,12,2
1309,4883,Medium Income,1089,79,22845,18,1
1310,3904,Medium Income,360,93,22154,13,0
1311,4627,Medium Income,1138,48,23631,12,1
1312,7094,High Income,325,63,5747,12,0
1314,3423,Low Income,991,44,22957,12,0
1315,6674,High Income,1476,55,16392,11,3
1317,16880,High Income,1322,43,22422,11,0
1318,9094,High Income,299,57,17235,12,0
1319,8446,High Income,1030,64,21534,19,0
1321,11916,High Income,634,95,25927,23,2
1322,4534,Medium Income,524,32,13352,11,0
1324,9852,High Income,587,57,8935,19,1
1329,6151,Medium Income,256,40,22074,13,0
1331,2302,Low Income,1060,54,8319,11,0
1333,2362,Low Income,935,89,14669,12,0
1334,17861,High Income,495,37,26582,13,0
1336,19187,High Income,282,58,6992,14,1
1338,19717,High Income,206,99,4022,14,0
1340,3544,Low Income,458,74,8532,16,1
1344,8500,High Income,943,86,5494,11,1
1346,4661,Medium Income,523,98,22455,13,0
1349,4103,Medium Income,1018,66,4297,17,1
1350,4249,Medium Income,482,87,2690,11,0
1352,14026,High Income,770,84,17588,11,1
1355,6893,High Income,1009,31,19461,15,1
1356,6125,Medium Income,507,66,23553,12,0
1358,3669,Medium Income,882,67,9075,11,3
1360,10008,High Income,601,53,12023,14,0
1361,2387,Low Income,329,88,6762,22,1
1362,4639,Medium Income,607,83,2261,16,1
1363,7898,High Income,855,54,18706,11,0
1364,2534,Low Income,1291,98,6527,14,1
1367,13142,High Income,1405,82,24439,16,0
1368,1611,Low Income,1124,97,19305,15,0
1369,5363,Medium Income,817,60,10846,12,1
1371,5071,Medium Income,793,43,20392,20,0
1372,13695,High Income,267,85,9277,17,0
1373,13402,High Income,1369,68,18235,12,1
1374,2029,Low Income,999,92,15891,20,3
1375,6377,Medium Income,1202,89,13888,20,3
1377,5429,Medium Income,285,86,17491,13,2
1379,2785,Low Income,703,90,11882,14,0
1380,4614,Medium Income,662,67,23288,18,1
1382,2610,Low Income,693,57,15748,11,3
1383,6687,High Income,404,98,6163,11,0
1387,4724,Medium Income,736,48,24232,11,1
1389,6179,Medium Income,330,98,21057,15,2
1390,6120,Medium Income,1498,44,3567,12,2
1391,10596,High Income,541,52,15395,11,0
1392,5467,Medium Income,1200,75,13953,14,2
1394,2996,Low Income,1439,54,5182,15,0
1395,9998,High Income,1111,61,19293,13,0
1396,4078,Medium Income,499,36,20497,13,3
1397,10920,High Income,1485,71,3449,21,1
1399,6232,Medium Income,1372,93,12477,11,0
1401,13247,High Income,322,59,9731,11,1
1402,4081,Medium Income,930,73,20003,14,0
1403,5769,Medium Income,205,98,7100,11,0
1405,2394,Low Income,135,51,25681,13,0
1407,3904,Medium Income,683,36,4050,12,0
1408,16799,High Income,1147,31,16616,14,1
1409,2950,Low Income,258,54,17363,13,0
1411,3629,Medium Income,1462,94,19106,18,0
1412,9362,High Income,200,60,19944,11,0
1415,3229,Low Income,949,81,4910,11,1
1417,3578,Low Income,652,100,23577,12,0
1419,7988,High Income,332,51,9769,13,0
1420,4284,Medium Income,1475,97,22710,20,0
1421,7553,High Income,337,84,22930,12,0
1422,17328,High Income,971,54,5652,19,0
1423,19701,High Income,1055,76,22456,21,1
1424,14732,High Income,1136,81,12414,13,2
1425,9278,High Income,1174,99,20763,16,0
1427,1359,Low Income,667,50,16154,12,0
1428,4779,Medium Income,855,73,12761,14,2
1430,16422,High Income,182,93,8847,11,0
1431,2996,Low Income,560,91,20284,14,2
1433,1261,Low Income,202,34,22262,12,0
1434,2099,Low Income,1377,91,7679,14,0
1435,5810,Medium Income,172,37,22604,16,0
1436,5647,Medium Income,329,98,13494,13,2
1438,3420,Low Income,465,74,10205,12,1
1439,4400,Medium Income,383,68,15182,12,0
1440,3500,Low Income,1413,84,25470,14,0
1441,2066,Low Income,1255,90,10494,22,1
1443,17169,High Income,359,82,26703,19,2
1445,4162,Medium Income,1476,42,15211,12,2
1446,9204,High Income,601,97,23343,12,1
1447,3294,Low Income,401,86,3708,17,1
1448,2127,Low Income,1283,90,5561,12,0
1449,3975,Medium Income,663,81,23099,11,2
1453,10793,High Income,326,31,8386,18,1
1457,10096,High Income,377,52,15986,11,1
1458,3646,Medium Income,592,54,17181,23,0
1459,7446,High Income,1445,100,8931,11,0
1460,10851,High Income,1038,95,19863,18,1
1461,2109,Low Income,1398,96,24609,18,0
1464,3722,Medium Income,523,94,21081,13,1
1465,9380,High Income,1448,55,14720,18,2
1466,5486,Medium Income,1221,96,24795,11,3
1467,2742,Low Income,1107,52,3072,15,0
1468,13757,High Income,218,55,25178,11,1
1469,8463,High Income,866,84,23490,18,0
1471,3162,Low Income,981,90,7973,14,0
1472,16598,High Income,447,39,19764,12,0
1473,6651,High Income,1495,96,21534,14,1
1474,2345,Low Income,896,68,8045,14,1
1475,3420,Low Income,1467,49,21158,13,0
1477,4373,Medium Income,430,54,17456,14,2
1478,4759,Medium Income,1326,81,15891,18,0
1479,5301,Medium Income,1358,96,2939,15,2
1480,3673,Medium Income,748,74,16458,13,0
1481,4768,Medium Income,383,79,9282,12,1
1482,1274,Low Income,990,64,7152,13,2
1483,4900,Medium Income,405,93,2721,24,1
1484,10466,High Income,1490,35,20948,14,2
1485,17007,High Income,829,71,11929,14,2
1486,2909,Low Income,1496,92,15747,15,1
1487,5765,Medium Income,115,51,17485,11,0
1489,4599,Medium Income,790,40,7815,23,0
1492,2404,Low Income,660,76,16192,13,1
1494,3172,Low Income,381,89,16998,11,0
1495,2033,Low Income,830,78,7103,13,1
1496,10209,High Income,1193,86,19719,18,0
1497,8620,High Income,1246,77,23757,14,2
1499,2064,Low Income,330,46,15428,21,1
1501,4035,Medium Income,1229,30,16143,16,0
1502,3838,Medium Income,1099,82,8192,11,0
1503,4591,Medium Income,571,78,24200,17,1
1504,2561,Low Income,289,38,5355,11,0
1506,1563,Low Income,1423,72,12530,14,1
1507,4898,Medium Income,467,55,11827,14,0
1509,4789,Medium Income,271,43,23070,25,1
1513,3180,Low Income,410,97,4668,13,3
1514,6549,High Income,1083,96,3173,14,2
1515,6388,Medium Income,516,69,22049,17,0
1516,11244,High Income,495,64,21072,25,0
1520,16032,High Income,1050,87,24456,20,1
1522,2362,Low Income,224,100,7568,13,0
1523,16328,High Income,136,32,22074,13,1
1525,8376,High Income,1089,32,9150,18,0
1527,16606,High Income,228,51,11380,12,1
1529,8606,High Income,1029,91,21195,19,0
1533,2272,Low Income,507,97,24812,14,0
1534,2018,Low Income,676,86,21831,14,0
1535,7083,High Income,971,64,12288,14,0
1537,4084,Medium Income,561,33,4156,12,0
1539,14411,High Income,333,88,24450,13,0
1541,2308,Low Income,1440,55,4944,25,1
1542,4841,Medium Income,1210,68,24052,14,1
1543,4285,Medium Income,674,47,3031,17,0
1544,9715,High Income,441,39,7288,13,1
1545,4320,Medium Income,575,44,24152,13,0
1546,2132,Low Income,950,97,4585,20,1
1547,10124,High Income,288,40,18611,14,1
1548,5473,Medium Income,1342,47,19345,12,0
1549,5207,Medium Income,589,79,22949,12,1
1550,16437,High Income,898,38,17381,21,0
1551,2296,Low Income,350,57,10036,14,3
1552,4069,Medium Income,1142,72,8841,18,0
1553,7441,High Income,538,66,20933,12,3
1554,2430,Low Income,1402,98,26204,23,2
1555,5878,Medium Income,824,67,15624,12,1
1556,2644,Low Income,1157,70,17001,21,0
1557,6439,Medium Income,492,96,13693,14,1
1558,2451,Low Income,598,91,22376,18,2
1560,6392,Medium Income,1242,46,10589,13,1
1562,9714,High Income,740,64,5323,11,1
1563,6077,Medium Income,888,71,14814,11,0
1564,2450,Low Income,992,68,21731,19,0
1568,9250,High Income,1288,33,17799,12,1
1569,2074,Low Income,104,69,26619,12,1
1572,10169,High Income,607,78,14618,16,1
1573,4855,Medium Income,903,81,7653,11,2
1574,4087,Medium Income,1200,62,25174,14,1
1576,2367,Low Income,1108,65,16530,12,1
1577,2972,Low Income,479,35,22061,13,0
1578,19586,High Income,685,60,23037,21,1
1580,5484,Medium Income,1351,45,13008,17,1
1581,2061,Low Income,474,89,11133,21,0
1582,9924,High Income,1245,80,12355,11,1
1583,4198,Medium Income,437,90,16379,12,0
1585,6815,High Income,884,73,21447,13,0
1586,4723,Medium Income,1370,87,16213,18,0
1587,6142,Medium Income,670,51,4223,16,0
1588,8237,High Income,1462,38,4658,11,1
1590,8853,High Income,995,87,24483,19,1
1591,19331,High Income,264,59,19519,16,1
1592,2073,Low Income,977,45,12826,16,1
1594,5562,Medium Income,1302,80,19711,13,1
1595,19613,High Income,1059,93,26362,22,0
1596,3407,Low Income,750,46,25348,17,2
1597,5063,Medium Income,653,92,15332,14,1
1598,4639,Medium Income,118,84,11262,15,1
1599,4876,Medium Income,990,87,5855,12,1
1601,2690,Low Income,1349,63,7713,18,1
1602,17567,High Income,563,56,3156,15,0
1604,2408,Low Income,329,51,7324,17,3
1605,2814,Low Income,457,85,10293,14,0
1606,11245,High Income,1234,41,20689,15,1
1607,3312,Low Income,634,35,18783,17,2
1608,19049,High Income,1313,31,3549,14,1
1609,2141,Low Income,241,48,5348,12,1
1611,5769,Medium Income,1015,50,23447,14,0
1612,4385,Medium Income,336,52,24162,15,1
1613,5332,Medium Income,715,54,21602,13,0
1614,4663,Medium Income,559,76,12421,12,2
1615,4724,Medium Income,426,42,17000,13,1
1617,3211,Low Income,722,84,22102,14,1
1618,5377,Medium Income,1387,76,3835,13,3
1619,4066,Medium Income,1302,67,16290,11,2
1621,5208,Medium Income,819,48,26312,11,0
1622,4877,Medium Income,580,39,20460,21,1
1623,3117,Low Income,546,97,26009,18,0
1624,1569,Low Income,544,70,18420,12,0
1625,19658,High Income,1176,98,5220,11,1
1627,3069,Low Income,170,76,10302,15,1
1628,10435,High Income,884,80,25800,13,2
1630,4148,Medium Income,208,52,12250,12,1
1631,5768,Medium Income,671,85,26493,17,3
1633,5042,Medium Income,711,81,3140,13,0
1635,5770,Medium Income,1329,59,5388,19,2
1638,7756,High Income,397,54,14199,19,1
1639,10306,High Income,737,55,21530,17,0
1640,3936,Medium Income,1470,71,9953,11,1
1641,7945,High Income,448,84,19948,15,0
1642,5743,Medium Income,602,37,10503,11,0
1644,15202,High Income,365,89,5602,25,1
1645,5440,Medium Income,763,59,22098,14,2
1646,3760,Medium Income,567,32,17218,13,0
1647,3517,Low Income,486,86,22490,17,0
1648,2580,Low Income,591,87,6297,13,0
1649,2166,Low Income,1329,73,3339,14,0
1650,5869,Medium Income,469,42,23413,11,0
1651,8008,High Income,711,42,22792,12,2
1653,5206,Medium Income,772,77,4973,17,2
1654,5295,Medium Income,492,66,7693,21,0
1655,16413,High Income,301,72,3498,16,2
1656,13269,High Income,813,50,21981,15,3
1657,2783,Low Income,1141,31,13251,19,0
1658,5433,Medium Income,1130,66,19332,12,1
1659,2013,Low Income,311,77,10950,11,0
1661,13966,High Income,465,41,11652,19,1
1662,4374,Medium Income,894,33,15411,15,0
1664,6842,High Income,1040,79,26308,20,1
1665,17426,High Income,584,91,18685,25,1
1666,17603,High Income,1291,65,3525,24,1
1667,4581,Medium Income,880,36,10414,24,0
1668,4735,Medium Income,1189,90,9867,15,2
1669,4187,Medium Income,991,43,3356,13,1
1670,5505,Medium Income,392,93,3921,14,2
1671,5470,Medium Income,977,45,25518,13,2
1673,5476,Medium Income,1112,67,22589,11,2
1674,2587,Low Income,464,74,24941,16,1
1675,2440,Low Income,148,42,23826,22,0
1676,15972,High Income,1225,47,21086,14,3
1677,15379,High Income,809,36,22384,14,0
1678,7082,High Income,1206,80,11591,16,0
1680,2728,Low Income,727,54,21082,11,0
1681,5368,Medium Income,530,36,16130,25,1
1682,5347,Medium Income,1351,80,7419,14,2
1683,3195,Low Income,528,44,4167,18,3
1684,3989,Medium Income,1320,93,20586,11,0
1687,3306,Low Income,1495,87,26176,19,1
1689,7005,High Income,1395,48,3458,15,0
1691,2655,Low Income,708,95,11740,11,2
1692,1393,Low Income,1259,95,24852,12,0
1693,2570,Low Income,786,76,11925,20,0
1694,3537,Low Income,1441,94,23737,12,1
1696,3986,Medium Income,1157,57,11912,14,1
1697,10883,High Income,370,92,20467,20,1
1698,2028,Low Income,267,79,13637,18,3
1700,9525,High Income,1278,31,7677,14,2
1701,2929,Low Income,678,35,20338,12,0
1702,2275,Low Income,427,99,25103,21,1
1703,7879,High Income,921,96,14810,19,1
1704,4930,Medium Income,146,79,13970,14,0
1706,7847,High Income,1179,73,6069,17,1
1707,4401,Medium Income,581,62,17616,16,1
1708,9241,High Income,918,35,15869,12,0
1709,2974,Low Income,1082,43,25412,17,1
1710,4502,Medium Income,530,51,7439,15,0
1712,10748,High Income,1238,74,3395,23,1
1714,1555,Low Income,240,58,11585,11,1
1716,12936,High Income,1093,82,24164,11,0
1718,2305,Low Income,390,62,6217,15,3
1719,16704,High Income,1005,48,17119,11,0
1720,3433,Low Income,585,56,17360,13,1
1721,3477,Low Income,741,69,18103,14,1
1722,6430,Medium Income,552,60,20794,19,1
1724,6516,High Income,369,92,5041,16,1
1725,3907,Medium Income,506,91,3622,13,3
1727,5562,Medium Income,717,34,9697,14,0
1728,6883,High Income,1370,49,5151,16,1
1729,2862,Low Income,793,33,3811,12,1
1731,4978,Medium Income,543,87,3536,11,1
1732,10368,High Income,1277,74,5596,12,1
1733,6134,Medium Income,1456,96,8658,13,3
1734,6735,High Income,964,34,12147,15,0
1735,3295,Low Income,160,51,12862,13,0
1736,5238,Medium Income,163,30,6670,20,0
1737,6472,High Income,792,77,8989,15,1
1739,9610,High Income,371,80,3840,13,1
1740,19833,High Income,611,88,4349,14,0
1744,9756,High Income,176,56,6595,21,2
1745,4968,Medium Income,1312,78,26427,16,0
1746,2145,Low Income,897,59,2097,14,1
1747,2180,Low Income,600,66,9732,11,1
1749,8346,High Income,1003,51,20943,19,1
1751,3445,Low Income,1054,67,6152,11,0
1752,2760,Low Income,428,52,14630,13,0
1753,6294,Medium Income,461,70,23060,12,0
1754,7140,High Income,979,94,3088,11,1
1755,2932,Low Income,181,97,5586,14,3
1756,5147,Medium Income,1283,62,10697,15,0
1757,4507,Medium Income,1313,80,8191,12,0
1758,8564,High Income,211,74,10092,20,0
1760,2468,Low Income,594,75,15963,14,1
1761,8161,High Income,1079,70,19002,13,3
1762,2109,Low Income,590,91,10007,13,1
1763,5294,Medium Income,305,58,9128,16,1
1764,2718,Low Income,953,65,17674,14,0
1766,5811,Medium Income,833,60,24539,16,1
1767,2437,Low Income,807,38,15587,16,1
1768,2766,Low Income,855,57,8952,22,3
1770,19038,High Income,478,60,19805,12,3
1771,3055,Low Income,775,90,6194,15,2
1772,2289,Low Income,548,94,20520,20,2
1774,4001,Medium Income,1375,87,12313,14,1
1775,12965,High Income,661,60,22308,20,3
1778,3539,Low Income,244,97,5033,13,0
1779,6029,Medium Income,511,32,25353,12,0
1780,2679,Low Income,337,31,4567,13,0
1782,3702,Medium Income,1153,40,16376,11,1
1783,2398,Low Income,1294,79,15999,17,0
1784,5468,Medium Income,196,91,13402,14,2
1786,13116,High Income,942,53,22984,11,0
