EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,Education,EducationField,DistanceFromHome
808,34,26-35,Female,Married,2,Life Sciences,8
809,42,36-45,Male,Divorced,3,Life Sciences,8
811,23,18-25,Male,Married,3,Life Sciences,6
812,24,18-25,Male,Divorced,3,Life Sciences,9
813,52,46+,Female,Married,4,Life Sciences,11
815,50,46+,Male,Married,3,Medical,2
816,29,26-35,Female,Married,2,Life Sciences,1
817,33,26-35,Male,Married,3,Medical,7
819,33,26-35,Female,Single,3,Marketing,16
820,47,46+,Female,Married,2,Other,2
823,36,36-45,Female,Married,3,Other,1
824,29,26-35,Male,Married,2,Life Sciences,23
825,58,46+,Male,Single,4,Life Sciences,2
826,35,26-35,Female,Single,4,Life Sciences,1
827,42,36-45,Female,Married,2,Life Sciences,1
828,28,26-35,Male,Single,4,Medical,2
829,36,36-45,Male,Married,3,Human Resources,13
830,32,26-35,Female,Married,3,Life Sciences,4
832,40,36-45,Male,Single,4,Medical,16
833,30,26-35,Female,Single,3,Medical,2
834,45,36-45,Female,Single,3,Life Sciences,2
836,42,36-45,Male,Married,3,Life Sciences,29
837,38,36-45,Male,Divorced,3,Life Sciences,12
838,34,26-35,Female,Single,4,Life Sciences,16
840,49,46+,Female,Married,3,Marketing,11
842,55,46+,Male,Single,1,Medical,2
843,43,36-45,Male,Married,2,Life Sciences,14
844,27,26-35,Male,Divorced,1,Technical Degree,5
845,35,26-35,Male,Single,3,Other,7
846,28,26-35,Female,Married,4,Marketing,2
847,34,26-35,Male,Married,2,Human Resources,3
848,26,26-35,Female,Married,2,Medical,5
850,27,26-35,Male,Married,3,Medical,3
851,51,46+,Female,Married,4,Marketing,26
852,44,36-45,Male,Single,3,Medical,4
854,25,18-25,Male,Single,1,Medical,2
855,33,26-35,Male,Divorced,3,Medical,1
856,35,26-35,Female,Single,1,Medical,27
857,36,36-45,Male,Married,2,Life Sciences,1
859,32,26-35,Male,Divorced,4,Life Sciences,13
861,30,26-35,Male,Divorced,4,Life Sciences,5
862,53,46+,Female,Married,2,Marketing,7
864,45,36-45,Male,Divorced,3,Marketing,9
865,32,26-35,Female,Married,2,Medical,8
867,52,46+,Female,Married,4,Medical,25
868,37,36-45,Male,Divorced,4,Marketing,16
869,28,26-35,Male,Divorced,2,Medical,8
872,22,18-25,Male,Married,2,Life Sciences,1
874,44,36-45,Male,Married,4,Life Sciences,8
875,42,36-45,Male,Single,1,Medical,2
878,36,36-45,Male,Married,3,Life Sciences,8
879,25,18-25,Male,Married,1,Other,3
880,35,26-35,Female,Married,3,Life Sciences,9
881,35,26-35,Female,Divorced,4,Life Sciences,25
882,32,26-35,Male,Divorced,3,Life Sciences,1
885,25,18-25,Male,Married,1,Marketing,4
887,49,46+,Female,Married,3,Technical Degree,1
888,24,18-25,Male,Married,1,Life Sciences,4
889,32,26-35,Male,Married,2,Life Sciences,5
893,38,36-45,Male,Married,3,Marketing,9
894,42,36-45,Female,Married,3,Life Sciences,3
895,31,26-35,Male,Married,4,Life Sciences,11
896,29,26-35,Female,Divorced,3,Medical,1
897,53,46+,Male,Married,3,Marketing,8
899,35,26-35,Male,Married,3,Technical Degree,25
900,37,36-45,Female,Married,2,Medical,21
901,53,46+,Female,Single,4,Life Sciences,23
902,43,36-45,Female,Married,3,Life Sciences,1
903,47,46+,Female,Married,2,Marketing,2
904,37,36-45,Male,Single,2,Medical,19
905,50,46+,Male,Divorced,4,Life Sciences,2
909,39,36-45,Female,Married,3,Life Sciences,2
910,33,26-35,Male,Divorced,2,Human Resources,3
911,32,26-35,Male,Single,4,Life Sciences,25
912,29,26-35,Female,Divorced,1,Medical,7
913,44,36-45,Male,Married,2,Life Sciences,9
916,28,26-35,Male,Single,4,Medical,5
918,58,46+,Male,Divorced,1,Life Sciences,2
920,43,36-45,Female,Divorced,3,Life Sciences,8
922,20,18-25,Female,Single,3,Medical,2
923,21,18-25,Female,Single,1,Other,18
924,36,36-45,Male,Married,1,Life Sciences,14
925,47,46+,Female,Single,4,Life Sciences,2
926,22,18-25,Female,Married,1,Life Sciences,3
927,41,36-45,Female,Divorced,4,Life Sciences,2
930,28,26-35,Female,Divorced,3,Medical,9
932,39,36-45,Male,Married,3,Medical,6
933,27,26-35,Female,Single,3,Life Sciences,4
934,34,26-35,Male,Divorced,3,Life Sciences,10
936,42,36-45,Female,Single,2,Medical,14
939,33,26-35,Male,Single,4,Other,1
940,58,46+,Female,Divorced,3,Technical Degree,5
941,31,26-35,Male,Married,4,Life Sciences,7
942,35,26-35,Female,Married,1,Life Sciences,21
944,49,46+,Female,Married,2,Other,8
945,48,46+,Male,Married,4,Medical,20
947,31,26-35,Female,Married,2,Marketing,20
949,36,36-45,Male,Single,4,Other,7
950,38,36-45,Female,Married,3,Technical Degree,1
951,32,26-35,Female,Married,3,Life Sciences,1
952,25,18-25,Male,Married,2,Marketing,19
954,40,36-45,Male,Divorced,4,Marketing,10
956,26,26-35,Male,Single,3,Medical,1
957,41,36-45,Male,Single,3,Medical,6
958,36,36-45,Male,Single,4,Medical,2
959,19,18-25,Male,Single,3,Other,21
960,20,18-25,Male,Single,3,Technical Degree,4
961,31,26-35,Female,Married,3,Medical,12
964,40,36-45,Male,Divorced,4,Medical,9
966,32,26-35,Female,Married,4,Medical,3
967,36,36-45,Male,Married,1,Life Sciences,3
969,33,26-35,Female,Single,3,Life Sciences,1
970,37,36-45,Male,Married,4,Life Sciences,1
972,45,36-45,Male,Married,2,Life Sciences,4
974,29,26-35,Female,Married,3,Technical Degree,20
975,35,26-35,Female,Married,3,Medical,18
976,52,46+,Male,Married,2,Life Sciences,1
977,58,46+,Male,Single,3,Technical Degree,2
981,53,46+,Male,Divorced,2,Medical,2
982,30,26-35,Male,Divorced,2,Other,8
983,38,36-45,Female,Single,3,Technical Degree,10
984,35,26-35,Male,Divorced,4,Life Sciences,3
985,39,36-45,Male,Single,5,Life Sciences,2
986,40,36-45,Female,Single,3,Life Sciences,24
987,47,46+,Male,Divorced,4,Medical,16
990,36,36-45,Male,Divorced,4,Technical Degree,8
991,31,26-35,Male,Single,2,Medical,9
992,33,26-35,Male,Single,3,Life Sciences,17
994,29,26-35,Female,Single,3,Life Sciences,10
995,33,26-35,Female,Single,1,Life Sciences,13
996,45,36-45,Female,Divorced,4,Medical,1
997,50,46+,Male,Divorced,2,Medical,1
998,33,26-35,Female,Married,4,Other,1
999,41,36-45,Male,Divorced,3,Medical,9
1001,27,26-35,Female,Married,4,Technical Degree,16
1002,45,36-45,Male,Married,2,Life Sciences,23
1003,47,46+,Female,Single,2,Life Sciences,4
1004,30,26-35,Female,Married,3,Life Sciences,22
1005,50,46+,Male,Married,3,Life Sciences,24
1006,38,36-45,Male,Married,1,Medical,10
1007,46,46+,Male,Divorced,2,Medical,7
1009,24,18-25,Female,Divorced,1,Medical,17
1010,35,26-35,Male,Divorced,4,Other,14
1011,31,26-35,Female,Married,1,Life Sciences,1
1012,18,18-25,Male,Single,2,Life Sciences,5
1013,54,46+,Female,Married,3,Technical Degree,17
1014,35,26-35,Female,Divorced,4,Medical,25
1015,30,26-35,Female,Married,2,Life Sciences,8
1016,20,18-25,Female,Single,3,Medical,11
1017,30,26-35,Female,Single,3,Medical,5
1018,26,26-35,Male,Married,2,Medical,2
1019,22,18-25,Male,Married,1,Life Sciences,8
1022,48,46+,Male,Single,3,Life Sciences,6
1024,48,46+,Male,Single,4,Life Sciences,4
1025,41,36-45,Female,Single,2,Medical,7
1026,39,36-45,Female,Married,1,Life Sciences,1
1027,27,26-35,Female,Married,4,Life Sciences,2
1028,35,26-35,Male,Divorced,3,Other,10
1029,42,36-45,Male,Married,2,Marketing,5
1030,50,46+,Male,Married,3,Life Sciences,9
1032,59,46+,Female,Single,3,Life Sciences,2
1033,37,36-45,Female,Married,2,Medical,11
1034,55,46+,Male,Married,4,Medical,18
1035,41,36-45,Female,Divorced,1,Life Sciences,7
1036,38,36-45,Male,Single,4,Life Sciences,3
1037,26,26-35,Male,Single,2,Medical,29
1038,52,46+,Female,Married,1,Marketing,2
1039,44,36-45,Female,Married,3,Medical,28
1040,50,46+,Female,Married,3,Life Sciences,1
1042,36,36-45,Female,Single,4,Life Sciences,16
1043,39,36-45,Female,Single,3,Medical,22
1044,33,26-35,Female,Single,1,Life Sciences,8
1045,45,36-45,Female,Married,2,Life Sciences,11
1046,32,26-35,Female,Single,4,Medical,29
1047,34,26-35,Male,Divorced,4,Marketing,1
1048,59,46+,Male,Married,2,Technical Degree,1
1049,45,36-45,Male,Single,4,Medical,24
1050,53,46+,Female,Married,3,Marketing,2
1052,36,36-45,Male,Divorced,3,Other,15
1053,26,26-35,Male,Married,3,Life Sciences,2
1055,34,26-35,Female,Married,4,Life Sciences,10
1056,28,26-35,Male,Married,1,Medical,10
1060,38,36-45,Male,Married,4,Other,3
1061,50,46+,Male,Married,4,Medical,2
1062,37,36-45,Female,Single,3,Other,3
1066,40,36-45,Male,Married,3,Marketing,26
1068,26,26-35,Female,Divorced,1,Medical,1
1069,46,46+,Male,Divorced,4,Medical,1
1070,54,46+,Female,Married,4,Life Sciences,2
1071,56,46+,Female,Married,3,Medical,9
1073,36,36-45,Female,Single,5,Medical,12
1074,55,46+,Male,Single,1,Medical,2
1076,43,36-45,Male,Divorced,3,Medical,25
1077,20,18-25,Female,Single,3,Marketing,9
1079,21,18-25,Female,Single,3,Life Sciences,10
1080,46,46+,Female,Divorced,4,Life Sciences,8
1081,51,46+,Male,Married,4,Life Sciences,4
1082,28,26-35,Male,Single,2,Technical Degree,24
1083,26,26-35,Male,Married,2,Medical,1
1084,30,26-35,Male,Married,3,Other,20
1085,41,36-45,Female,Married,2,Technical Degree,7
1088,38,36-45,Female,Married,1,Life Sciences,17
1092,40,36-45,Male,Married,4,Technical Degree,20
1094,27,26-35,Male,Married,5,Life Sciences,8
1096,55,46+,Male,Married,1,Life Sciences,2
1097,28,26-35,Female,Single,3,Other,10
1098,44,36-45,Male,Married,2,Medical,1
1099,33,26-35,Male,Divorced,3,Life Sciences,5
1100,35,26-35,Male,Single,3,Technical Degree,4
1101,33,26-35,Female,Single,4,Medical,29
1102,28,26-35,Male,Divorced,2,Life Sciences,15
1103,34,26-35,Male,Single,1,Life Sciences,3
1105,37,36-45,Female,Divorced,4,Life Sciences,10
1106,25,18-25,Male,Married,1,Technical Degree,4
1107,26,26-35,Male,Divorced,3,Medical,21
1108,33,26-35,Male,Single,3,Medical,25
1109,42,36-45,Male,Married,2,Medical,2
1111,28,26-35,Male,Divorced,3,Medical,1
1113,50,46+,Male,Single,4,Other,1
1114,33,26-35,Female,Married,3,Life Sciences,7
1115,34,26-35,Male,Married,4,Life Sciences,3
1116,48,46+,Male,Single,4,Medical,1
1117,45,36-45,Female,Married,4,Life Sciences,9
1118,52,46+,Male,Single,4,Life Sciences,7
1119,38,36-45,Male,Divorced,4,Marketing,10
1120,29,26-35,Female,Divorced,4,Life Sciences,28
1121,28,26-35,Female,Divorced,3,Medical,3
1124,46,46+,Male,Married,1,Marketing,3
1125,38,36-45,Male,Single,2,Marketing,2
1126,43,36-45,Female,Married,3,Life Sciences,27
1127,39,36-45,Male,Divorced,3,Life Sciences,2
1128,40,36-45,Male,Single,3,Medical,14
1131,21,18-25,Female,Single,1,Technical Degree,1
1132,39,36-45,Male,Single,3,Life Sciences,9
1133,36,36-45,Male,Single,4,Life Sciences,18
1135,31,26-35,Male,Married,3,Life Sciences,20
1136,28,26-35,Male,Married,1,Life Sciences,2
1137,35,26-35,Male,Divorced,2,Marketing,11
1138,49,46+,Male,Married,4,Technical Degree,8
1140,34,26-35,Male,Single,2,Life Sciences,2
1143,29,26-35,Female,Divorced,3,Life Sciences,10
1148,42,36-45,Male,Single,3,Medical,29
1150,29,26-35,Male,Married,1,Medical,8
1152,38,36-45,Male,Married,3,Human Resources,1
1154,28,26-35,Male,Divorced,3,Life Sciences,6
1156,18,18-25,Male,Single,1,Medical,8
1157,33,26-35,Female,Single,4,Marketing,9
1158,41,36-45,Male,Married,4,Life Sciences,12
1160,31,26-35,Male,Married,3,Medical,15
1161,37,36-45,Female,Divorced,2,Medical,25
1162,27,26-35,Male,Married,3,Life Sciences,6
1163,34,26-35,Female,Married,1,Life Sciences,9
1164,35,26-35,Male,Single,4,Technical Degree,8
1165,29,26-35,Female,Married,1,Life Sciences,23
1166,40,36-45,Female,Single,4,Medical,9
1167,42,36-45,Male,Single,3,Life Sciences,12
1171,42,36-45,Male,Single,4,Marketing,4
1172,35,26-35,Male,Married,4,Medical,1
1173,24,18-25,Male,Single,3,Medical,24
1175,28,26-35,Female,Married,1,Life Sciences,12
1177,26,26-35,Male,Married,4,Medical,3
1179,30,26-35,Male,Married,3,Marketing,10
1180,40,36-45,Female,Married,2,Medical,26
1182,35,26-35,Male,Divorced,3,Life Sciences,2
1184,34,26-35,Male,Single,3,Medical,1
1185,35,26-35,Male,Married,4,Other,4
1188,43,36-45,Female,Single,3,Marketing,9
1190,32,26-35,Female,Divorced,1,Life Sciences,2
1191,56,46+,Female,Divorced,4,Technical Degree,4
1192,29,26-35,Female,Married,1,Medical,6
1193,19,18-25,Male,Single,2,Life Sciences,9
1195,45,36-45,Female,Married,3,Medical,7
1196,37,36-45,Female,Married,3,Life Sciences,1
1198,20,18-25,Male,Single,3,Life Sciences,3
1200,44,36-45,Male,Single,4,Life Sciences,10
1201,53,46+,Female,Divorced,2,Medical,7
1202,29,26-35,Female,Married,1,Life Sciences,15
1203,22,18-25,Male,Married,4,Life Sciences,3
1204,46,46+,Female,Married,3,Marketing,2
1206,44,36-45,Male,Single,3,Life Sciences,17
1207,33,26-35,Male,Married,3,Human Resources,2
1210,41,36-45,Male,Divorced,2,Life Sciences,5
1211,30,26-35,Male,Divorced,4,Life Sciences,29
1212,40,36-45,Male,Married,4,Medical,2
1215,50,46+,Female,Married,3,Medical,2
1216,28,26-35,Male,Married,4,Medical,19
1217,46,46+,Male,Married,2,Life Sciences,15
1218,35,26-35,Male,Married,4,Life Sciences,17
1219,24,18-25,Female,Married,2,Life Sciences,17
1220,33,26-35,Female,Married,3,Medical,25
1221,36,36-45,Male,Divorced,4,Life Sciences,6
1224,30,26-35,Male,Divorced,4,Life Sciences,7
1225,44,36-45,Male,Single,4,Other,29
1226,20,18-25,Male,Single,3,Marketing,21
1228,46,46+,Male,Divorced,4,Technical Degree,2
1231,42,36-45,Male,Married,5,Medical,2
1233,60,46+,Male,Divorced,4,Marketing,7
1234,32,26-35,Female,Married,3,Other,13
1235,32,26-35,Female,Single,2,Life Sciences,2
1237,36,36-45,Female,Divorced,3,Technical Degree,1
1238,33,26-35,Male,Married,3,Medical,9
1239,40,36-45,Female,Divorced,3,Technical Degree,10
1240,25,18-25,Male,Single,4,Life Sciences,10
1241,30,26-35,Male,Married,3,Medical,1
1242,42,36-45,Female,Married,5,Medical,26
1243,35,26-35,Female,Married,2,Marketing,8
1244,27,26-35,Male,Married,3,Life Sciences,14
1245,54,46+,Female,Divorced,4,Life Sciences,1
1246,44,36-45,Female,Married,1,Life Sciences,2
1248,19,18-25,Female,Single,3,Medical,10
1249,29,26-35,Female,Divorced,3,Life Sciences,1
1250,54,46+,Male,Married,3,Life Sciences,3
1251,31,26-35,Male,Married,2,Medical,11
1252,31,26-35,Female,Single,3,Medical,24
1254,59,46+,Female,Single,3,Life Sciences,3
1255,43,36-45,Male,Married,3,Life Sciences,3
1256,49,46+,Male,Married,2,Medical,4
1257,36,36-45,Male,Married,3,Technical Degree,3
1258,48,46+,Male,Single,2,Technical Degree,2
1259,27,26-35,Male,Divorced,2,Life Sciences,4
1260,29,26-35,Male,Divorced,3,Life Sciences,7
1263,48,46+,Male,Single,3,Life Sciences,1
1264,29,26-35,Female,Divorced,3,Life Sciences,1
1265,34,26-35,Female,Married,3,Technical Degree,20
1267,44,36-45,Male,Married,3,Marketing,5
1268,33,26-35,Male,Divorced,5,Marketing,10
1269,19,18-25,Female,Single,3,Life Sciences,25
1270,23,18-25,Male,Married,2,Life Sciences,1
1273,25,18-25,Male,Single,1,Life Sciences,24
1275,26,26-35,Male,Single,2,Life Sciences,4
1277,45,36-45,Female,Single,3,Marketing,2
1278,55,46+,Male,Divorced,1,Medical,8
1279,21,18-25,Female,Single,2,Life Sciences,10
1280,46,46+,Female,Married,2,Marketing,4
1281,34,26-35,Female,Single,3,Marketing,2
1282,51,46+,Male,Divorced,3,Life Sciences,9
1283,59,46+,Male,Single,4,Medical,18
1285,34,26-35,Female,Divorced,3,Medical,19
1286,28,26-35,Male,Single,4,Medical,1
1288,44,36-45,Male,Divorced,2,Life Sciences,4
1289,34,26-35,Male,Married,3,Life Sciences,11
1291,35,26-35,Male,Married,1,Life Sciences,6
1292,42,36-45,Female,Married,4,Medical,7
1293,43,36-45,Female,Single,4,Marketing,4
1294,36,36-45,Female,Single,4,Life Sciences,2
1295,44,36-45,Female,Married,3,Medical,15
1296,28,26-35,Male,Married,3,Life Sciences,2
1297,51,46+,Female,Single,2,Medical,6
1298,30,26-35,Female,Single,2,Medical,9
1299,29,26-35,Female,Divorced,3,Technical Degree,7
1301,28,26-35,Male,Single,3,Technical Degree,1
1303,25,18-25,Female,Single,3,Medical,1
1304,32,26-35,Male,Married,3,Medical,8
1306,45,36-45,Female,Single,3,Medical,25
1307,39,36-45,Female,Divorced,4,Medical,13
1308,58,46+,Male,Divorced,4,Life Sciences,23
1309,32,26-35,Male,Married,2,Life Sciences,7
1310,39,36-45,Male,Single,3,Medical,23
1311,30,26-35,Female,Married,3,Technical Degree,6
1312,36,36-45,Female,Married,4,Technical Degree,10
1314,46,46+,Female,Single,2,Life Sciences,1
1315,28,26-35,Female,Married,3,Life Sciences,1
1317,50,46+,Female,Married,3,Life Sciences,28
1318,40,36-45,Male,Single,4,Marketing,25
1319,52,46+,Male,Single,3,Life Sciences,5
1321,30,26-35,Female,Married,4,Medical,17
1322,39,36-45,Male,Single,2,Life Sciences,18
1324,31,26-35,Female,Divorced,4,Life Sciences,2
1329,41,36-45,Male,Single,2,Medical,10
1331,31,26-35,Female,Single,3,Life Sciences,1
1333,44,36-45,Male,Married,3,Life Sciences,3
1334,42,36-45,Male,Married,1,Life Sciences,2
1336,55,46+,Female,Married,2,Medical,2
1338,56,46+,Male,Single,4,Life Sciences,8
1340,40,36-45,Male,Divorced,2,Life Sciences,16
1344,34,26-35,Male,Divorced,3,Life Sciences,9
1346,40,36-45,Male,Single,3,Life Sciences,2
1349,41,36-45,Female,Divorced,3,Marketing,1
1350,35,26-35,Male,Single,4,Life Sciences,4
1352,51,46+,Male,Divorced,3,Life Sciences,5
1355,38,36-45,Female,Divorced,2,Life Sciences,2
1356,34,26-35,Female,Single,2,Medical,15
1358,25,18-25,Male,Married,1,Medical,19
1360,58,46+,Female,Married,4,Medical,7
1361,40,36-45,Male,Married,4,Life Sciences,1
1362,36,36-45,Female,Married,3,Marketing,7
1363,48,46+,Male,Single,3,Life Sciences,4
1364,27,26-35,Female,Married,3,Medical,11
1367,51,46+,Female,Single,2,Technical Degree,11
1368,18,18-25,Female,Single,3,Life Sciences,1
1369,35,26-35,Female,Married,3,Medical,1
1371,27,26-35,Male,Single,1,Life Sciences,2
1372,55,46+,Male,Single,4,Marketing,13
1373,56,46+,Male,Married,3,Life Sciences,23
1374,34,26-35,Female,Divorced,1,Technical Degree,26
1375,40,36-45,Female,Divorced,1,Medical,2
1377,34,26-35,Male,Married,3,Medical,29
1379,31,26-35,Female,Single,3,Life Sciences,2
1380,35,26-35,Female,Married,4,Marketing,18
1382,38,36-45,Male,Divorced,3,Life Sciences,7
1383,34,26-35,Female,Single,4,Technical Degree,2
1387,28,26-35,Male,Married,3,Life Sciences,26
1389,31,26-35,Male,Married,4,Medical,22
1390,39,36-45,Male,Married,4,Life Sciences,21
1391,51,46+,Male,Married,3,Marketing,2
1392,41,36-45,Female,Divorced,3,Life Sciences,22
1394,37,36-45,Male,Married,1,Life Sciences,4
1395,33,26-35,Male,Married,1,Life Sciences,5
1396,32,26-35,Male,Married,1,Marketing,2
1397,39,36-45,Male,Married,2,Life Sciences,25
1399,25,18-25,Male,Married,1,Life Sciences,18
1401,52,46+,Female,Married,2,Medical,28
1402,43,36-45,Female,Single,3,Medical,6
1403,27,26-35,Female,Married,3,Marketing,10
1405,27,26-35,Female,Single,4,Life Sciences,17
1407,26,26-35,Male,Single,1,Medical,2
1408,42,36-45,Female,Married,3,Human Resources,10
1409,52,46+,Female,Married,4,Other,8
1411,37,36-45,Female,Single,3,Medical,11
1412,35,26-35,Male,Single,2,Life Sciences,18
1415,25,18-25,Male,Married,3,Technical Degree,1
1417,26,26-35,Male,Single,3,Other,7
1419,29,26-35,Male,Single,3,Other,17
1420,49,46+,Male,Single,2,Life Sciences,28
1421,29,26-35,Female,Single,1,Other,14
1422,54,46+,Female,Single,3,Medical,1
1423,58,46+,Female,Married,3,Medical,1
1424,55,46+,Male,Divorced,4,Medical,1
1425,36,36-45,Female,Single,4,Marketing,3
1427,31,26-35,Female,Single,4,Life Sciences,1
1428,30,26-35,Female,Divorced,4,Marketing,7
1430,31,26-35,Female,Single,5,Life Sciences,8
1431,34,26-35,Male,Divorced,4,Other,1
1433,31,26-35,Female,Single,3,Life Sciences,8
1434,27,26-35,Male,Married,1,Life Sciences,11
1435,36,36-45,Male,Single,4,Life Sciences,4
1436,36,36-45,Female,Married,4,Marketing,16
1438,47,46+,Male,Married,3,Technical Degree,1
1439,25,18-25,Male,Married,2,Life Sciences,9
1440,37,36-45,Male,Single,2,Technical Degree,5
1441,56,46+,Female,Married,2,Life Sciences,1
1443,47,46+,Female,Married,4,Medical,2
1445,24,18-25,Female,Married,1,Medical,4
1446,32,26-35,Male,Married,5,Marketing,7
1447,34,26-35,Female,Married,3,Life Sciences,1
1448,41,36-45,Male,Married,5,Medical,5
1449,40,36-45,Male,Divorced,4,Other,9
1453,31,26-35,Male,Divorced,2,Life Sciences,8
1457,46,46+,Male,Divorced,3,Marketing,9
1458,39,36-45,Female,Single,3,Life Sciences,2
1459,31,26-35,Female,Single,5,Life Sciences,1
1460,45,36-45,Male,Divorced,3,Medical,20
1461,31,26-35,Female,Single,2,Medical,8
1464,31,26-35,Male,Married,3,Life Sciences,2
1465,45,36-45,Male,Married,3,Technical Degree,29
1466,48,46+,Male,Divorced,3,Marketing,7
1467,34,26-35,Female,Married,4,Technical Degree,9
1468,40,36-45,Male,Divorced,1,Medical,8
1469,28,26-35,Male,Single,3,Medical,5
1471,44,36-45,Male,Single,3,Life Sciences,5
1472,53,46+,Male,Single,3,Medical,2
1473,49,46+,Male,Married,4,Technical Degree,5
1474,40,36-45,Male,Divorced,3,Medical,2
1475,44,36-45,Male,Single,3,Life Sciences,20
1477,33,26-35,Male,Married,3,Medical,7
1478,34,26-35,Male,Single,3,Other,3
1479,30,26-35,Male,Married,1,Life Sciences,16
1480,42,36-45,Female,Single,2,Medical,9
1481,44,36-45,Female,Married,5,Marketing,1
1482,30,26-35,Male,Divorced,3,Technical Degree,7
1483,57,46+,Male,Married,2,Life Sciences,1
1484,49,46+,Male,Divorced,4,Life Sciences,7
1485,34,26-35,Male,Divorced,3,Medical,15
1486,28,26-35,Male,Married,3,Technical Degree,1
1487,29,26-35,Female,Single,3,Technical Degree,13
1489,34,26-35,Female,Single,4,Medical,24
1492,35,26-35,Male,Married,1,Life Sciences,7
1494,24,18-25,Male,Single,3,Medical,9
1495,24,18-25,Female,Married,2,Life Sciences,13
1496,44,36-45,Male,Single,1,Medical,2
1497,29,26-35,Male,Divorced,3,Life Sciences,19
1499,30,26-35,Male,Divorced,3,Life Sciences,1
1501,55,46+,Male,Married,4,Life Sciences,4
1502,33,26-35,Female,Married,4,Medical,4
1503,47,46+,Female,Married,3,Medical,14
1504,28,26-35,Male,Single,2,Medical,2
1506,28,26-35,Male,Divorced,3,Life Sciences,1
1507,28,26-35,Male,Single,3,Life Sciences,7
1509,49,46+,Female,Married,2,Medical,3
1513,29,26-35,Female,Married,1,Life Sciences,2
1514,28,26-35,Male,Married,1,Life Sciences,29
1515,33,26-35,Male,Single,5,Life Sciences,8
1516,32,26-35,Male,Single,3,Medical,10
1520,54,46+,Female,Divorced,4,Medical,11
1522,29,26-35,Male,Single,4,Technical Degree,1
1523,44,36-45,Male,Married,3,Life Sciences,28
1525,39,36-45,Female,Single,3,Life Sciences,6
1527,46,46+,Female,Married,3,Life Sciences,3
1529,35,26-35,Female,Single,3,Life Sciences,16
1533,23,18-25,Male,Single,1,Life Sciences,20
1534,40,36-45,Male,Single,4,Life Sciences,9
1535,34,26-35,Male,Married,3,Technical Degree,1
1537,31,26-35,Female,Single,3,Life Sciences,3
1539,50,46+,Male,Single,5,Medical,22
1541,34,26-35,Male,Married,2,Technical Degree,7
1542,42,36-45,Male,Married,3,Medical,2
1543,37,36-45,Male,Married,3,Medical,13
1544,29,26-35,Female,Married,1,Other,8
1545,33,26-35,Male,Single,3,Life Sciences,25
1546,45,36-45,Male,Married,3,Technical Degree,28
1547,42,36-45,Male,Married,3,Life Sciences,2
1548,40,36-45,Male,Married,2,Medical,9
1549,33,26-35,Male,Married,4,Life Sciences,28
1550,40,36-45,Male,Single,2,Medical,6
1551,24,18-25,Male,Divorced,2,Technical Degree,21
1552,40,36-45,Male,Divorced,2,Life Sciences,8
1553,45,36-45,Male,Divorced,4,Technical Degree,1
1554,35,26-35,Female,Married,4,Life Sciences,28
1555,32,26-35,Female,Married,2,Life Sciences,5
1556,36,36-45,Male,Single,4,Life Sciences,2
1557,48,46+,Female,Divorced,4,Life Sciences,16
1558,29,26-35,Male,Married,3,Life Sciences,9
1560,33,26-35,Male,Married,4,Life Sciences,8
1562,30,26-35,Male,Married,3,Life Sciences,1
1563,38,36-45,Male,Married,4,Human Resources,10
1564,35,26-35,Male,Single,3,Medical,1
1568,30,26-35,Male,Married,4,Technical Degree,29
1569,35,26-35,Female,Divorced,3,Life Sciences,2
1572,53,46+,Female,Married,5,Technical Degree,2
1573,38,36-45,Male,Married,3,Medical,2
1574,32,26-35,Male,Married,4,Technical Degree,1
1576,48,46+,Female,Married,4,Other,15
1577,34,26-35,Male,Single,4,Medical,7
1578,55,46+,Male,Married,5,Marketing,26
1580,34,26-35,Male,Married,4,Life Sciences,1
1581,26,26-35,Female,Married,3,Life Sciences,3
1582,38,36-45,Male,Married,3,Life Sciences,14
1583,38,36-45,Female,Single,3,Life Sciences,16
1585,36,36-45,Female,Single,4,Life Sciences,1
1586,29,26-35,Male,Single,1,Medical,3
1587,35,26-35,Female,Single,4,Medical,10
1588,39,36-45,Male,Married,3,Medical,6
1590,29,26-35,Male,Divorced,1,Life Sciences,2
1591,50,46+,Male,Married,3,Marketing,9
1592,23,18-25,Male,Married,3,Technical Degree,10
1594,36,36-45,Male,Married,4,Life Sciences,6
1595,42,36-45,Male,Single,2,Other,9
1596,35,26-35,Male,Married,3,Life Sciences,28
1597,34,26-35,Male,Married,4,Technical Degree,10
1598,40,36-45,Female,Married,2,Life Sciences,14
1599,43,36-45,Male,Divorced,3,Technical Degree,27
1601,35,26-35,Male,Married,2,Life Sciences,7
1602,46,46+,Male,Single,4,Life Sciences,1
1604,28,26-35,Male,Married,3,Medical,24
1605,22,18-25,Female,Married,2,Other,26
1606,50,46+,Male,Married,5,Medical,20
1607,32,26-35,Female,Married,4,Other,5
1608,44,36-45,Female,Divorced,3,Medical,7
1609,30,26-35,Male,Married,3,Medical,7
1611,45,36-45,Female,Single,5,Medical,5
1612,45,36-45,Male,Married,3,Marketing,26
1613,31,26-35,Male,Single,4,Other,2
1614,36,36-45,Female,Married,4,Life Sciences,12
1615,34,26-35,Male,Divorced,4,Life Sciences,10
1617,49,46+,Female,Married,4,Life Sciences,25
1618,39,36-45,Male,Married,5,Medical,10
