EmployeeNumber,DepartmentID,SatisfactionID,Attrition,AttritionFlag,OverTime,OvertimeRisk,YearsAtCompany,TenureCategory,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,BusinessTravel,JobLevel,JobInvolvement,AttritionRiskScore,RetentionSegment
309,2,63,No,0,No,Low Risk,1,New Employee,7,0,0,0,3,6,3,Travel_Rarely,1,2,2,Safe
311,7,17,No,0,No,Low Risk,9,Long Tenure,13,8,5,8,4,2,3,Travel_Frequently,1,3,3,Safe
312,1,60,No,0,No,Low Risk,11,Long Tenure,11,10,4,1,1,5,3,Travel_Frequently,3,3,1,Safe
314,1,118,No,0,No,Low Risk,10,Long Tenure,10,7,0,8,1,3,3,Travel_Frequently,3,3,0,Safe
315,2,45,Yes,1,Yes,High Risk,4,Mid Tenure,4,3,0,1,1,3,3,Travel_Rarely,1,2,5,At Risk
316,3,86,No,0,No,Low Risk,2,New Employee,6,2,2,2,7,3,3,Travel_Rarely,1,2,2,Safe
319,9,20,No,0,No,Low Risk,22,Long Tenure,22,17,11,15,1,3,3,Travel_Rarely,5,3,1,Safe
321,10,49,No,0,No,Low Risk,2,New Employee,7,2,2,2,8,2,3,Travel_Rarely,1,3,2,Safe
323,6,6,No,0,No,Low Risk,7,Mid Tenure,32,0,0,6,3,3,3,Travel_Rarely,5,3,0,Safe
325,3,94,Yes,1,Yes,High Risk,5,Mid Tenure,8,4,0,4,5,2,3,Travel_Rarely,1,3,5,At Risk
327,6,18,No,0,Yes,High Risk,17,Long Tenure,22,13,1,9,5,3,4,Travel_Rarely,4,3,3,Safe
328,3,85,Yes,1,No,Low Risk,9,Long Tenure,13,7,1,7,7,3,4,Travel_Rarely,1,3,5,At Risk
329,6,119,No,0,Yes,High Risk,33,Long Tenure,33,7,15,12,1,2,3,Non-Travel,5,2,4,At Risk
330,7,88,No,0,No,Low Risk,4,Mid Tenure,6,3,1,2,2,5,3,Travel_Rarely,1,3,3,Safe
331,3,120,Yes,1,Yes,High Risk,3,Mid Tenure,4,2,1,2,0,2,3,Travel_Rarely,1,2,3,Safe
332,3,83,No,0,No,Low Risk,3,Mid Tenure,7,2,1,2,7,1,3,Travel_Rarely,1,3,2,Safe
333,1,63,No,0,No,Low Risk,3,Mid Tenure,4,2,2,2,0,2,3,Non-Travel,2,3,0,Safe
334,2,7,No,0,No,Low Risk,1,New Employee,17,0,0,0,2,2,3,Travel_Rarely,2,3,5,At Risk
335,2,79,No,0,No,Low Risk,9,Long Tenure,9,8,4,7,1,3,3,Travel_Rarely,2,3,6,At Risk
336,9,34,No,0,No,Low Risk,24,Long Tenure,25,0,1,7,0,2,3,Travel_Rarely,5,4,0,Safe
337,8,59,No,0,No,Low Risk,2,New Employee,9,2,2,2,9,3,3,Travel_Frequently,3,3,3,Safe
338,2,45,No,0,No,Low Risk,2,New Employee,2,2,0,2,1,2,3,Travel_Rarely,1,2,2,Safe
339,4,121,No,0,No,Low Risk,11,Long Tenure,13,9,5,9,6,3,3,Travel_Rarely,2,2,1,Safe
340,2,7,No,0,No,Low Risk,3,Mid Tenure,17,1,0,2,2,2,3,Travel_Rarely,1,2,3,Safe
341,4,41,No,0,No,Low Risk,3,Mid Tenure,9,2,0,2,4,1,3,Travel_Frequently,2,4,0,Safe
342,4,122,Yes,1,No,Low Risk,1,New Employee,17,0,0,0,6,5,3,Travel_Frequently,3,3,3,Safe
343,5,76,No,0,No,Low Risk,19,Long Tenure,20,6,11,8,0,1,4,Travel_Frequently,3,3,1,Safe
346,2,63,No,0,No,Low Risk,6,Mid Tenure,6,5,1,5,1,1,3,Travel_Rarely,1,3,2,Safe
347,2,105,No,0,Yes,High Risk,3,Mid Tenure,10,2,0,2,3,1,3,Travel_Rarely,2,4,3,Safe
349,1,40,No,0,No,Low Risk,3,Mid Tenure,10,2,0,2,2,2,3,Travel_Rarely,2,3,0,Safe
350,4,41,No,0,No,Low Risk,4,Mid Tenure,5,2,1,2,0,3,3,Travel_Rarely,2,3,1,Safe
351,3,105,No,0,Yes,High Risk,9,Long Tenure,10,6,7,8,0,4,3,Travel_Rarely,1,2,6,At Risk
352,8,41,No,0,No,Low Risk,21,Long Tenure,22,7,3,9,0,5,3,Travel_Rarely,5,3,0,Safe
353,2,86,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,0,3,Travel_Rarely,1,3,2,Safe
355,3,123,Yes,1,No,Low Risk,5,Mid Tenure,6,4,1,4,0,2,3,Travel_Frequently,1,2,2,Safe
359,3,90,No,0,No,Low Risk,5,Mid Tenure,5,1,0,3,1,3,4,Travel_Frequently,1,4,2,Safe
361,1,40,No,0,No,Low Risk,8,Long Tenure,13,7,7,5,3,0,3,Non-Travel,2,2,1,Safe
362,3,35,No,0,No,Low Risk,6,Mid Tenure,9,2,0,4,4,5,3,Travel_Rarely,2,2,2,Safe
363,6,66,No,0,Yes,High Risk,7,Mid Tenure,28,7,7,7,3,2,3,Travel_Rarely,4,1,4,At Risk
364,3,124,Yes,1,No,Low Risk,0,New Employee,5,0,0,0,2,5,3,Travel_Rarely,1,3,2,Safe
366,1,125,No,0,No,Low Risk,0,New Employee,10,0,0,0,2,2,3,Travel_Rarely,2,2,3,Safe
367,5,55,No,0,No,Low Risk,9,Long Tenure,10,0,7,8,0,2,4,Travel_Rarely,2,2,1,Safe
369,5,126,No,0,No,Low Risk,6,Mid Tenure,6,3,1,5,1,2,3,Non-Travel,2,4,1,Safe
372,5,127,No,0,Yes,High Risk,20,Long Tenure,21,7,4,10,0,2,3,Travel_Rarely,4,3,4,At Risk
373,3,18,No,0,No,Low Risk,15,Long Tenure,16,13,10,11,0,4,3,Travel_Rarely,1,3,3,Safe
374,9,105,No,0,Yes,High Risk,36,Long Tenure,37,10,4,13,0,2,3,Travel_Rarely,5,3,4,At Risk
376,9,15,Yes,1,Yes,High Risk,10,Long Tenure,10,7,9,9,1,2,3,Non-Travel,3,3,4,At Risk
377,2,46,No,0,No,Low Risk,5,Mid Tenure,5,2,0,4,1,3,4,Travel_Rarely,1,3,2,Safe
378,1,128,No,0,No,Low Risk,5,Mid Tenure,7,4,0,1,4,5,3,Travel_Rarely,2,3,0,Safe
379,2,129,No,0,No,Low Risk,3,Mid Tenure,3,2,1,0,1,4,3,Travel_Rarely,1,2,3,Safe
380,8,79,No,0,Yes,High Risk,5,Mid Tenure,15,2,0,2,2,2,3,Non-Travel,3,3,6,At Risk
381,9,91,No,0,No,Low Risk,7,Mid Tenure,10,7,6,2,7,6,3,Travel_Rarely,3,4,4,At Risk
382,1,130,No,0,Yes,High Risk,8,Long Tenure,8,0,7,7,1,3,4,Travel_Rarely,2,4,7,Flight Risk
384,4,131,No,0,No,Low Risk,6,Mid Tenure,6,5,1,4,1,6,4,Travel_Frequently,2,3,3,Safe
385,8,75,No,0,No,Low Risk,10,Long Tenure,28,4,1,6,3,4,3,Travel_Rarely,5,3,3,Safe
386,8,21,No,0,Yes,High Risk,5,Mid Tenure,21,3,1,3,3,5,3,Travel_Rarely,4,3,3,Safe
387,1,38,No,0,No,Low Risk,20,Long Tenure,20,16,11,6,1,3,4,Travel_Rarely,2,3,1,Safe
388,1,28,No,0,No,Low Risk,10,Long Tenure,10,7,0,9,1,3,3,Travel_Frequently,2,3,0,Safe
389,3,60,No,0,Yes,High Risk,10,Long Tenure,12,7,0,8,3,4,3,Travel_Rarely,2,3,3,Safe
390,5,130,No,0,Yes,High Risk,5,Mid Tenure,5,3,3,3,1,3,3,Travel_Frequently,2,3,6,At Risk
391,2,62,No,0,No,Low Risk,17,Long Tenure,17,12,5,7,1,3,3,Travel_Rarely,1,3,3,Safe
392,3,120,Yes,1,Yes,High Risk,1,New Employee,19,0,0,0,3,0,4,Travel_Frequently,1,3,5,At Risk
393,5,62,No,0,No,Low Risk,2,New Employee,10,2,1,2,9,2,3,Travel_Rarely,2,3,0,Safe
394,3,5,Yes,1,Yes,High Risk,3,Mid Tenure,5,2,0,2,2,2,3,Travel_Rarely,1,3,5,At Risk
395,2,40,No,0,No,Low Risk,5,Mid Tenure,5,3,0,2,1,3,4,Travel_Rarely,1,3,2,Safe
396,8,73,No,0,Yes,High Risk,3,Mid Tenure,22,2,1,2,9,4,3,Travel_Frequently,5,3,3,Safe
397,2,2,No,0,No,Low Risk,8,Long Tenure,10,0,7,7,4,2,3,Travel_Rarely,2,3,1,Safe
399,7,100,No,0,No,Low Risk,2,New Employee,2,2,2,2,1,5,3,Travel_Frequently,1,3,2,Safe
401,1,62,Yes,1,Yes,High Risk,8,Long Tenure,8,7,7,4,1,0,3,Travel_Rarely,2,2,4,At Risk
403,2,102,No,0,Yes,High Risk,4,Mid Tenure,4,2,1,2,1,3,3,Travel_Frequently,1,3,5,At Risk
404,1,132,No,0,No,Low Risk,20,Long Tenure,23,4,4,8,5,2,3,Travel_Frequently,4,3,1,Safe
405,3,83,Yes,1,No,Low Risk,0,New Employee,0,0,0,0,1,2,3,Travel_Rarely,1,3,3,Safe
406,1,82,No,0,No,Low Risk,11,Long Tenure,12,9,6,9,0,3,3,Travel_Rarely,3,3,1,Safe
407,3,20,No,0,No,Low Risk,1,New Employee,4,0,0,0,4,2,3,Travel_Frequently,1,4,0,Safe
408,4,103,No,0,No,Low Risk,4,Mid Tenure,13,1,1,2,5,3,3,Travel_Rarely,2,1,0,Safe
410,6,133,No,0,No,Low Risk,22,Long Tenure,22,10,0,4,1,2,3,Travel_Rarely,4,3,0,Safe
411,7,26,No,0,No,Low Risk,0,New Employee,0,0,0,0,1,2,3,Travel_Rarely,1,2,3,Safe
412,5,14,No,0,No,Low Risk,8,Long Tenure,9,3,0,7,0,2,3,Travel_Rarely,2,4,3,Safe
416,1,134,No,0,No,Low Risk,8,Long Tenure,10,7,7,7,4,3,3,Travel_Rarely,2,4,1,Safe
417,5,92,No,0,No,Low Risk,18,Long Tenure,19,10,3,7,0,5,3,Travel_Rarely,3,4,0,Safe
419,3,51,No,0,No,Low Risk,9,Long Tenure,11,8,0,8,7,3,3,Non-Travel,2,3,0,Safe
420,1,71,No,0,No,Low Risk,13,Long Tenure,13,8,4,8,1,3,3,Travel_Rarely,2,2,1,Safe
421,8,9,No,0,No,Low Risk,10,Long Tenure,19,8,0,1,3,2,3,Travel_Rarely,3,2,3,Safe
422,5,10,No,0,Yes,High Risk,5,Mid Tenure,12,3,1,2,2,2,3,Non-Travel,2,1,3,Safe
423,2,34,No,0,Yes,High Risk,5,Mid Tenure,6,2,0,3,0,4,3,Travel_Rarely,1,3,3,Safe
424,10,135,No,0,No,Low Risk,2,New Employee,9,2,1,0,3,1,3,Travel_Rarely,2,2,3,Safe
425,3,136,No,0,No,Low Risk,24,Long Tenure,24,9,9,11,1,2,3,Travel_Frequently,3,3,4,At Risk
426,2,95,No,0,Yes,High Risk,2,New Employee,3,2,2,2,0,2,3,Travel_Rarely,1,3,5,At Risk
428,9,133,No,0,No,Low Risk,10,Long Tenure,12,6,8,8,6,2,3,Travel_Frequently,3,3,1,Safe
429,9,73,No,0,Yes,High Risk,21,Long Tenure,21,9,11,10,1,3,3,Travel_Rarely,4,3,4,At Risk
430,3,63,No,0,No,Low Risk,8,Long Tenure,9,7,1,7,0,5,3,Travel_Frequently,1,3,2,Safe
431,5,76,No,0,Yes,High Risk,7,Mid Tenure,25,1,0,7,7,2,3,Travel_Rarely,4,2,3,Safe
433,2,137,Yes,1,No,Low Risk,8,Long Tenure,11,2,7,7,2,3,3,Travel_Rarely,2,2,4,At Risk
434,2,66,No,0,Yes,High Risk,4,Mid Tenure,4,3,1,2,1,2,3,Travel_Rarely,1,3,5,At Risk
436,1,2,No,0,Yes,High Risk,13,Long Tenure,13,12,11,9,1,2,3,Travel_Rarely,2,2,4,At Risk
437,1,26,No,0,Yes,High Risk,5,Mid Tenure,5,4,0,4,1,3,3,Travel_Rarely,2,3,3,Safe
438,1,40,No,0,No,Low Risk,7,Mid Tenure,13,7,1,7,4,3,3,Travel_Rarely,2,3,0,Safe
439,2,138,No,0,No,Low Risk,7,Mid Tenure,10,7,0,7,7,0,3,Travel_Rarely,2,4,0,Safe
440,2,139,Yes,1,Yes,High Risk,3,Mid Tenure,5,2,2,2,5,4,3,Travel_Rarely,1,1,5,At Risk
441,2,40,No,0,No,Low Risk,10,Long Tenure,11,8,1,9,1,2,3,Travel_Rarely,2,3,0,Safe
442,4,98,No,0,No,Low Risk,10,Long Tenure,10,9,8,9,1,2,4,Travel_Frequently,3,2,1,Safe
444,9,63,No,0,No,Low Risk,21,Long Tenure,21,9,13,3,1,2,3,Travel_Frequently,5,2,1,Safe
445,1,52,Yes,1,Yes,High Risk,1,New Employee,12,0,0,0,4,3,3,Travel_Rarely,2,3,3,Safe
446,1,102,No,0,No,Low Risk,7,Mid Tenure,9,7,0,1,3,6,3,Travel_Frequently,2,2,0,Safe
447,8,3,No,0,No,Low Risk,3,Mid Tenure,21,2,1,1,4,2,3,Travel_Rarely,5,3,0,Safe
448,3,140,No,0,No,Low Risk,9,Long Tenure,9,7,0,0,1,3,3,Travel_Frequently,2,2,0,Safe
449,1,2,No,0,Yes,High Risk,5,Mid Tenure,6,4,1,4,0,0,3,Non-Travel,2,3,3,Safe
450,2,29,No,0,No,Low Risk,4,Mid Tenure,20,3,0,3,3,4,3,Travel_Frequently,2,3,0,Safe
451,5,7,No,0,No,Low Risk,1,New Employee,10,0,0,0,8,1,3,Travel_Rarely,3,3,3,Safe
452,2,31,No,0,No,Low Risk,10,Long Tenure,12,9,9,8,9,3,3,Travel_Rarely,2,3,1,Safe
453,1,102,No,0,Yes,High Risk,4,Mid Tenure,6,3,0,2,2,2,4,Travel_Rarely,2,1,3,Safe
454,3,24,Yes,1,Yes,High Risk,7,Mid Tenure,7,7,0,7,1,4,3,Travel_Rarely,1,1,5,At Risk
455,3,12,No,0,No,Low Risk,3,Mid Tenure,4,2,2,2,0,2,3,Travel_Rarely,1,2,0,Safe
456,1,4,No,0,No,Low Risk,10,Long Tenure,10,9,1,2,1,2,3,Travel_Rarely,2,2,0,Safe
458,1,39,No,0,No,Low Risk,8,Long Tenure,8,7,0,7,1,3,3,Travel_Rarely,2,3,3,Safe
460,4,6,No,0,No,Low Risk,6,Mid Tenure,8,2,0,4,7,2,3,Travel_Rarely,2,3,0,Safe
461,8,127,No,0,Yes,High Risk,11,Long Tenure,12,10,2,9,0,3,3,Travel_Rarely,3,2,3,Safe
462,4,45,No,0,Yes,High Risk,11,Long Tenure,11,9,4,10,1,2,3,Travel_Rarely,3,3,4,At Risk
463,1,141,No,0,Yes,High Risk,7,Mid Tenure,7,7,1,7,1,2,3,Travel_Rarely,2,2,3,Safe
464,4,2,No,0,No,Low Risk,16,Long Tenure,17,6,0,13,0,5,3,Travel_Rarely,3,3,0,Safe
465,2,45,No,0,No,Low Risk,4,Mid Tenure,4,2,0,2,1,2,3,Travel_Rarely,1,3,3,Safe
466,4,103,No,0,Yes,High Risk,5,Mid Tenure,8,4,1,2,6,3,3,Travel_Rarely,2,2,3,Safe
467,7,59,No,0,No,Low Risk,0,New Employee,5,0,0,0,3,3,3,Travel_Frequently,2,3,5,At Risk
468,8,48,No,0,No,Low Risk,1,New Employee,16,0,0,0,2,2,3,Travel_Rarely,4,3,0,Safe
469,1,52,No,0,No,Low Risk,4,Mid Tenure,4,3,0,2,1,3,3,Non-Travel,2,3,0,Safe
470,10,83,No,0,Yes,High Risk,3,Mid Tenure,4,2,1,0,0,5,3,Travel_Rarely,1,3,5,At Risk
471,3,78,No,0,No,Low Risk,8,Long Tenure,8,0,0,7,1,4,3,Travel_Rarely,1,3,2,Safe
473,6,142,No,0,No,Low Risk,0,New Employee,15,0,0,0,3,3,4,Travel_Rarely,3,3,3,Safe
474,2,33,No,0,Yes,High Risk,7,Mid Tenure,13,7,6,7,4,2,3,Travel_Rarely,2,4,7,Flight Risk
475,1,143,No,0,Yes,High Risk,2,New Employee,4,2,2,2,7,2,3,Non-Travel,2,3,3,Safe
476,1,13,No,0,No,Low Risk,8,Long Tenure,8,7,7,7,1,3,3,Travel_Rarely,2,3,1,Safe
477,5,48,No,0,No,Low Risk,1,New Employee,14,0,0,0,3,6,4,Travel_Rarely,2,2,0,Safe
478,7,9,Yes,1,Yes,High Risk,3,Mid Tenure,3,2,1,2,1,3,3,Travel_Frequently,1,2,9,Flight Risk
479,1,62,No,0,No,Low Risk,1,New Employee,7,0,0,0,4,6,3,Non-Travel,2,3,0,Safe
481,1,79,No,0,No,Low Risk,13,Long Tenure,16,9,1,12,4,2,3,Travel_Frequently,3,2,3,Safe
482,5,4,No,0,No,Low Risk,3,Mid Tenure,15,2,1,2,2,2,3,Travel_Rarely,2,3,0,Safe
483,3,4,No,0,Yes,High Risk,7,Mid Tenure,10,7,1,7,3,3,3,Travel_Rarely,1,4,5,At Risk
484,7,138,No,0,No,Low Risk,3,Mid Tenure,3,2,2,2,1,3,4,Non-Travel,1,3,3,Safe
485,7,3,Yes,1,Yes,High Risk,1,New Employee,1,0,0,0,1,2,3,Travel_Rarely,1,3,5,At Risk
486,3,19,No,0,No,Low Risk,5,Mid Tenure,17,4,0,3,6,3,4,Travel_Rarely,1,3,5,At Risk
487,4,144,No,0,No,Low Risk,1,New Employee,7,0,0,0,2,2,3,Non-Travel,2,3,0,Safe
488,1,9,Yes,1,No,Low Risk,8,Long Tenure,8,7,7,7,1,5,3,Travel_Frequently,2,3,4,At Risk
491,5,40,No,0,No,Low Risk,4,Mid Tenure,20,3,1,3,6,2,3,Travel_Rarely,3,2,0,Safe
492,1,98,Yes,1,Yes,High Risk,6,Mid Tenure,8,4,1,0,2,6,3,Travel_Rarely,2,2,3,Safe
493,2,2,No,0,Yes,High Risk,2,New Employee,3,2,2,2,0,5,3,Travel_Rarely,1,2,5,At Risk
494,7,2,Yes,1,No,Low Risk,1,New Employee,1,0,0,0,1,0,3,Travel_Rarely,1,4,3,Safe
495,2,40,No,0,No,Low Risk,3,Mid Tenure,6,2,1,2,9,4,3,Travel_Rarely,1,3,2,Safe
496,5,78,No,0,No,Low Risk,1,New Employee,10,1,0,0,9,5,3,Travel_Rarely,2,2,0,Safe
497,3,133,No,0,No,Low Risk,5,Mid Tenure,5,2,0,4,1,2,3,Travel_Rarely,1,3,0,Safe
498,1,60,No,0,No,Low Risk,7,Mid Tenure,7,5,0,7,1,1,3,Travel_Rarely,2,3,0,Safe
499,5,38,No,0,No,Low Risk,5,Mid Tenure,26,2,0,0,8,2,4,Travel_Rarely,3,2,0,Safe
500,1,45,No,0,No,Low Risk,7,Mid Tenure,18,7,0,7,4,2,3,Travel_Rarely,2,3,0,Safe
501,2,3,No,0,No,Low Risk,2,New Employee,6,2,2,2,4,3,3,Travel_Rarely,1,3,2,Safe
502,1,145,Yes,1,Yes,High Risk,5,Mid Tenure,9,2,0,4,8,3,3,Non-Travel,2,4,3,Safe
505,9,34,No,0,Yes,High Risk,5,Mid Tenure,30,4,1,2,2,2,3,Travel_Rarely,4,3,3,Safe
507,1,110,No,0,Yes,High Risk,5,Mid Tenure,5,2,0,3,1,2,3,Travel_Rarely,2,3,4,At Risk
508,7,88,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,3,3,Travel_Rarely,1,3,5,At Risk
510,2,44,Yes,1,No,Low Risk,6,Mid Tenure,7,4,0,4,0,2,4,Travel_Frequently,1,3,2,Safe
511,2,5,No,0,No,Low Risk,2,New Employee,2,1,1,2,1,1,3,Travel_Rarely,1,3,3,Safe
513,1,146,No,0,No,Low Risk,10,Long Tenure,10,9,9,0,1,2,3,Travel_Rarely,3,2,1,Safe
514,2,34,Yes,1,Yes,High Risk,1,New Employee,3,0,0,0,9,4,4,Travel_Frequently,1,3,5,At Risk
515,3,147,No,0,No,Low Risk,18,Long Tenure,18,7,12,17,1,2,3,Travel_Rarely,1,3,3,Safe
516,1,106,No,0,No,Low Risk,5,Mid Tenure,8,4,1,3,7,5,3,Travel_Rarely,2,3,0,Safe
517,3,22,No,0,No,Low Risk,5,Mid Tenure,8,2,1,2,3,5,3,Travel_Rarely,1,3,5,At Risk
518,4,64,No,0,Yes,High Risk,1,New Employee,18,0,0,1,2,2,3,Travel_Rarely,2,3,3,Safe
520,8,9,No,0,No,Low Risk,25,Long Tenure,25,10,3,9,1,3,3,Travel_Rarely,4,2,3,Safe
521,3,146,No,0,No,Low Risk,1,New Employee,20,0,0,0,6,3,4,Travel_Rarely,2,2,2,Safe
522,8,77,No,0,No,Low Risk,4,Mid Tenure,24,2,1,2,4,4,3,Travel_Rarely,5,3,3,Safe
523,1,98,No,0,No,Low Risk,3,Mid Tenure,6,2,1,2,9,3,3,Non-Travel,2,3,0,Safe
524,4,148,No,0,No,Low Risk,13,Long Tenure,13,10,3,12,1,5,3,Travel_Rarely,2,3,3,Safe
525,3,31,No,0,No,Low Risk,3,Mid Tenure,8,2,1,2,7,1,4,Travel_Frequently,1,3,2,Safe
526,5,76,No,0,Yes,High Risk,5,Mid Tenure,8,2,0,2,4,3,3,Travel_Rarely,2,3,3,Safe
527,1,55,No,0,Yes,High Risk,5,Mid Tenure,5,4,1,3,1,3,3,Travel_Rarely,2,2,4,At Risk
529,2,59,No,0,Yes,High Risk,13,Long Tenure,15,11,10,7,3,2,3,Non-Travel,2,3,7,Flight Risk
530,3,105,No,0,No,Low Risk,4,Mid Tenure,4,2,3,2,1,3,3,Travel_Rarely,1,2,2,Safe
531,9,38,No,0,Yes,High Risk,21,Long Tenure,21,8,1,6,1,3,3,Travel_Frequently,5,3,3,Safe
532,1,149,No,0,No,Low Risk,7,Mid Tenure,36,7,7,7,9,0,3,Travel_Frequently,4,4,1,Safe
533,1,146,No,0,No,Low Risk,5,Mid Tenure,6,4,4,4,0,6,3,Travel_Rarely,2,3,1,Safe
534,1,14,No,0,No,Low Risk,10,Long Tenure,10,7,0,7,1,2,3,Travel_Rarely,3,4,3,Safe
536,3,73,No,0,No,Low Risk,10,Long Tenure,10,0,1,8,1,2,3,Travel_Rarely,2,3,0,Safe
538,3,130,Yes,1,No,Low Risk,2,New Employee,6,2,0,2,5,5,3,Travel_Rarely,1,3,4,At Risk
543,4,4,No,0,Yes,High Risk,5,Mid Tenure,28,4,0,4,2,4,3,Travel_Rarely,3,2,3,Safe
544,2,139,No,0,No,Low Risk,2,New Employee,8,2,0,2,3,3,4,Travel_Rarely,1,3,2,Safe
546,9,115,No,0,No,Low Risk,5,Mid Tenure,31,2,1,4,2,2,3,Travel_Rarely,4,3,0,Safe
547,2,122,No,0,No,Low Risk,5,Mid Tenure,19,4,0,2,2,3,3,Travel_Frequently,2,3,3,Safe
548,4,34,No,0,No,Low Risk,5,Mid Tenure,11,4,0,2,2,2,4,Travel_Rarely,2,1,0,Safe
549,9,150,No,0,No,Low Risk,29,Long Tenure,33,8,11,10,5,5,3,Travel_Rarely,5,3,4,At Risk
550,4,42,No,0,No,Low Risk,10,Long Tenure,19,7,0,8,2,5,3,Travel_Rarely,2,3,0,Safe
551,5,25,No,0,No,Low Risk,6,Mid Tenure,7,5,0,4,0,4,3,Travel_Frequently,2,2,0,Safe
554,7,125,Yes,1,Yes,High Risk,5,Mid Tenure,6,3,1,4,1,4,3,Travel_Rarely,1,3,9,Flight Risk
555,7,29,Yes,1,No,Low Risk,2,New Employee,3,2,1,0,0,3,3,Travel_Frequently,1,1,2,Safe
556,3,18,No,0,Yes,High Risk,1,New Employee,1,0,0,0,1,3,4,Travel_Frequently,1,3,5,At Risk
558,6,76,No,0,No,Low Risk,20,Long Tenure,21,15,1,12,0,2,3,Travel_Rarely,5,3,0,Safe
560,2,151,No,0,No,Low Risk,3,Mid Tenure,3,2,0,2,1,3,4,Travel_Rarely,1,3,2,Safe
562,3,94,No,0,No,Low Risk,5,Mid Tenure,9,3,1,4,4,3,3,Non-Travel,1,3,2,Safe
564,8,38,No,0,No,Low Risk,10,Long Tenure,10,2,0,7,1,2,3,Travel_Rarely,3,2,0,Safe
565,2,123,Yes,1,No,Low Risk,2,New Employee,6,2,1,1,5,2,3,Travel_Rarely,1,2,2,Safe
566,10,97,Yes,1,No,Low Risk,1,New Employee,1,0,0,0,1,3,3,Travel_Rarely,1,2,3,Safe
567,1,44,No,0,No,Low Risk,9,Long Tenure,10,8,7,8,0,3,3,Non-Travel,3,3,1,Safe
568,6,138,No,0,No,Low Risk,1,New Employee,32,0,0,0,3,3,3,Travel_Rarely,4,2,0,Safe
569,9,146,No,0,No,Low Risk,27,Long Tenure,28,10,15,7,0,2,3,Travel_Rarely,4,2,1,Safe
571,3,45,No,0,No,Low Risk,11,Long Tenure,12,7,6,7,0,2,3,Non-Travel,1,3,3,Safe
573,1,152,No,0,No,Low Risk,18,Long Tenure,22,13,13,11,4,5,3,Travel_Frequently,3,2,1,Safe
574,4,17,No,0,No,Low Risk,5,Mid Tenure,20,0,0,4,5,2,3,Travel_Rarely,2,3,0,Safe
575,8,124,No,0,No,Low Risk,3,Mid Tenure,26,2,0,1,6,2,3,Travel_Rarely,4,3,0,Safe
577,3,4,No,0,No,Low Risk,5,Mid Tenure,6,4,4,3,0,2,3,Travel_Rarely,1,1,1,Safe
578,3,83,No,0,No,Low Risk,1,New Employee,19,0,0,0,7,3,3,Travel_Rarely,2,3,0,Safe
579,2,4,No,0,No,Low Risk,7,Mid Tenure,14,3,5,7,3,3,3,Travel_Rarely,1,2,3,Safe
580,1,34,No,0,Yes,High Risk,3,Mid Tenure,15,2,1,2,2,3,3,Travel_Rarely,3,2,3,Safe
581,4,132,No,0,No,Low Risk,13,Long Tenure,13,8,0,8,1,6,4,Travel_Rarely,3,3,0,Safe
582,9,153,Yes,1,Yes,High Risk,7,Mid Tenure,15,6,7,7,7,2,3,Travel_Rarely,3,3,4,At Risk
584,3,79,Yes,1,No,Low Risk,4,Mid Tenure,8,3,1,3,7,2,3,Travel_Rarely,1,1,5,At Risk
585,7,141,No,0,No,Low Risk,3,Mid Tenure,4,2,1,2,0,3,3,Travel_Rarely,1,3,2,Safe
586,5,4,No,0,Yes,High Risk,8,Long Tenure,10,7,0,0,4,2,3,Travel_Rarely,3,3,3,Safe
587,5,96,Yes,1,No,Low Risk,1,New Employee,12,0,0,0,3,2,3,Travel_Frequently,3,3,3,Safe
590,10,14,Yes,1,Yes,High Risk,3,Mid Tenure,11,2,0,2,9,2,3,Travel_Frequently,3,3,6,At Risk
591,3,37,No,0,No,Low Risk,2,New Employee,8,2,2,0,4,4,3,Travel_Frequently,1,3,2,Safe
592,1,112,No,0,No,Low Risk,10,Long Tenure,10,3,9,7,1,3,3,Non-Travel,3,3,1,Safe
593,3,83,Yes,1,No,Low Risk,2,New Employee,4,2,1,2,5,3,3,Travel_Frequently,1,2,1,Safe
595,1,114,No,0,No,Low Risk,9,Long Tenure,14,7,6,7,2,2,3,Travel_Rarely,2,3,1,Safe
597,6,5,No,0,No,Low Risk,10,Long Tenure,37,9,7,7,3,2,4,Travel_Rarely,4,3,1,Safe
599,1,40,No,0,No,Low Risk,14,Long Tenure,16,3,1,10,7,3,3,Non-Travel,2,3,0,Safe
600,1,38,No,0,No,Low Risk,11,Long Tenure,15,9,6,9,9,2,3,Travel_Rarely,2,3,1,Safe
601,4,38,No,0,No,Low Risk,20,Long Tenure,22,6,5,13,7,3,3,Travel_Rarely,4,3,1,Safe
602,3,98,No,0,No,Low Risk,8,Long Tenure,8,3,0,7,1,3,3,Travel_Frequently,1,3,0,Safe
604,1,154,No,0,Yes,High Risk,6,Mid Tenure,10,5,0,5,4,2,3,Travel_Rarely,2,3,3,Safe
605,4,155,No,0,Yes,High Risk,10,Long Tenure,10,9,5,8,1,5,4,Travel_Rarely,3,3,4,At Risk
